uf,municipio,nome_conflito,familias,area
Goiás,Minaçu,Comunidade do Carmo,5,
Goiás,Morro Agudo de Goiás,Com. Minas Boa Vista/Olaria/Mineradora Mosaic/CMOC,30,
Goiás,Piranhas,P. A. Nascente de São Domingos,2,
Goiás,Planaltina,Faz. Itauna/Empresa Igarashi/Córrego Lapinha,3,4030
Goiás,,,800,
Goiás,Silvânia,Assent. São Sebastião da Garganta,200,
Goiás,Subtotal = 25,,3226,286351
Maranhão,Alcântara,Agrovila Pepital/Centro de Lançamento de Alcântara,46,
Maranhão,Alcântara,Com. Quil. Mamuna/Mamona/Centro de Lançamento de Alcântara,80,
Maranhão,Alcântara,Com. Quil. Águas Belas/Cema/Centro de Lançamento de Alcântara,2,
Maranhão,Alcântara,Com. Quil. Baracatatiua/Centro de Lançamento de Alcântara,11,
Maranhão,Alcântara,Com. Quil. Brito/Centro de Lançamento de Alcântara,45,
Maranhão,Alcântara,Com. Quil. Itapera/Centro de Lançamento de Alcântara,18,
Maranhão,Alcântara,Com. Quil. Mamuninha/Centro de Lançamento de Alcântara,4,
Maranhão,Alcântara,Com. Quil. Canelatiua/Centro de Lançamento de Alcântara,67,
Maranhão,Alcântara,Com. Quil. Santa Maria/Centro de Lançamento de Alcântara,138,
Maranhão,Alcântara,Com. Quil. Mato Grosso/Centro de Lançamento de Alcântara,7,
Maranhão,Alcântara,Com. Quil. Vista Alegre/Centro de Lançamento de Alcântara,32,
Maranhão,Alcântara,Com. Quil. Retiro/Centro de Lançamento de Alcântara,3,
Maranhão,Alcântara,Com. Quil. Araú Novo/Centro de Lançamento de Alcântara,5,
Maranhão,Alcântara,Com. Quil. Bom Viver/Centro de Lançamento de Alcântara,8,
Maranhão,Alcântara,Com. Quil. Camarajó/Centro de Lançamento de Alcântara,2,
Maranhão,Alcântara,Com. Quil. Canavieira/Centro de Lançamento de Alcântara,5,
Maranhão,Alcântara,Com. Quil. Folhal/Centro de Lançamento de Alcântara,30,
Maranhão,Alcântara,Com. Quil. Galego/Centro de Lançamento de Alcântara,13,
Maranhão,Alcântara,Com. Quil. Mãe Eugênia/Centro de Lançamento de Alcântara,2,
Maranhão,Alcântara,Com. Quil. Mocajubal/Centro de Lançamento de Alcântara,27,
Maranhão,Alcântara,Com. Quil. Pacuri/Centro de Lançamento de Alcântara,19,
Maranhão,Alcântara,Com. Quil. Periaçu/Centro de Lançamento de Alcântara,26,
Maranhão,Alcântara,Com. Quil. Ponta d' Areia/Centro de Lançamento de Alcântara,80,
Maranhão,Alcântara,Com. Quil. Porto do Aru/Centro de Lançamento de Alcântara,2,
Maranhão,Alcântara,Com. Quil. Rio Verde/Centro de Lançamento de Alcântara,5,
Maranhão,Alcântara,Com. Quil. São João de Cortes/Centro de Lançamento de Alcântara,151,
Maranhão,Alcântara,Com. Quil. Tacaua/Centro de Lançamento de Alcântara,5,
Maranhão,Alcântara,Com. Quil. Vila Valdeci/Centro de Lançamento de Alcântara,5,
Maranhão,Alcântara,Agrovila Peru/Centro de Lançamento de Alcântara,123,
Maranhão,Alcântara,Agrovila Cajueiro/Centro de Lançamento de Alcântara,59,
Maranhão,Alcântara,Agrovila Ponta Seca/Centro de Lançamento de Alcântara,17,
Maranhão,Alcântara,Agrovila Só Assim/Centro de Lançamento de Alcântara,,
Maranhão,Alcântara,Agrovila Marudá/Centro de Lançamento de Alcântara,,
Maranhão,Alcântara,Agrovila Espera/Centro de Lançamento de Alcântara,13,
Maranhão,Aldeias Altas,"Pov. Gostoso, Barro I e II, Pati, Bom Sucesso/TG Agroindústria",23,997
Maranhão,Alto Alegre do Maranhão,Com. Arame,16,333
Maranhão,Amarante do Maranhão,T. I. Governador,164,42054
Maranhão,Amarante do Maranhão,Comunidade Belo Monte 3,35,819
Maranhão,Anapurus,Comunidade Formiga,12,
Maranhão,Anapurus,Buritizinho,,
Maranhão,Araioses,Pau Ferrado,74,7750
Maranhão,Araioses,Baixão das Vassouras,,
Maranhão,Araioses,Baixão da Subida,,
Maranhão,Arari,Cedro/Búfalos,5,500
Maranhão,Arari,Com. Mutum II,,
Maranhão,Arari,Com. Capim Açu,,
Maranhão,Arari,Com. Laranjeira Campo do Carmo I e II,,
Maranhão,Arari,Com. Flexeiras/Búfalos,,
Maranhão,Arari,Com. Passa Bem/Búfalos,,
Maranhão,Arari,Com. Rabela/Búfalos,,
